YEAR,STATEID,STATE,REGION,JURGT1M,JURGT1F,JURLT1M,JURLT1F,JURUNSM,JURUNSF,JURTOTM,JURTOTF,JURUSTOTAL,PVINM,PVINF,PVOTHM,PVOTHF,WHITEM,WHITEF,BLACKM,BLACKF,HISPM,HISPF,AIANM,AIANF,ASIANM,ASIANF,NHPIM,NHPIF,APIM,APIF,TWORACEM,TWORACEF,ADDRACEM,ADDRACEF,UNKRACEM,UNKRACEF,TOTRACEM,TOTRACEF,NOTHISPM,NOTHISPF,UNKHISPM,UNKHISPF,TOTHCATM,TOTHCATF,COMMITM,COMMITF,PARNEWM,PARNEWF,PARNOM,PARNOF,ADCRNEWM,ADCRNEWF,ADCRNOM,ADCRNOF,ADTRANSM,ADTRANSF,ADAWOLM,ADAWOLF,ADESCAPM,ADESCAPF,ADAWESM,ADAWESF,ADRETM,ADRETF,ADOTHM,ADOTHF,ADTOTM,ADTOTF,RLUNEXPM,RLUNEXPF,RLUNCOMM,RLUNCOMF,RLUNOTHM,RLUNOTHF,RLCOPROM,RLCOPROF,RLCOSUPM,RLCOSUPF,RLCODPM,RLCODPF,RLCOOTHM,RLCOOTHF,RLDEATHM,RLDEATHF,RLAWOLM,RLAWOLF,RLESCAPM,RLESCAPF,RLAWESM,RLAWESF,RLTRANM,RLTRANF,RLBONDM,RLBONDF,RLOTHM,RLOTHF,RLTOTM,RLTOTF,FLOJANM,FLOJANF,FLOADMM,FLOADMF,FLORLM,FLORLF,FLODECM,FLODECF,ADMITUSTOTAL,RELEASEUSTOTAL,index,Population (People),        Under 5 years of age (People),        5 to 14 years (People),        15 to 24 years (People),        25 to 34 years (People),        35 to 44 years (People),        45 to 54 years (People),        55 to 64 years (People),        65+ years (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Two or more races (People),        Northeast (People),        Midwest (People),        South (People),        West (People),        Male (People),        Female (People),        Children (under 18) (People),        Working-age (16-64) (People),        Elderly (65+) (People),        Working-age (18-64) (People),        Children (15 and under) (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Other / Mixed race (People),        Hispanic (People),        Not Hispanic (People),        Hispanic (People),"        White, Not-Hispanic (People)","        Black, Not-Hispanic (People)","        Asian, Not-Hispanic (People)","        American Indian and Alaska Native, Not-Hispanic (People)","        Other / Mixed race, Not Hispanic (People)",Years,DUI,curfew loitering,disorderly conduct,drug violations,drunkeness,liquor,property,vagrancy,violence,weapons
1980,70,US,5,303633,12331,8489,639,4269,450,316401,13420,329821,,,,,163083,6191,143700,6549,24451,795,2853,158,,,,,824,18,,,0,0,4977,342,315437,13258,206527,8913,84459,3550,,,134021,8101,10259,369,12846,470,2303,89,2396,85,2539,194,0,0,0,0,7477,523,266,15,640,24,172747,9870,22708,1191,630,68,1223,95,4534,446,28309,1463,79226,4591,4115,268,,,0,0,0,0,8082,526,2689,198,1760,152,6104,721,160094,9732,,,,,0,0,,,182617,169826,1980,227224719,16451188,34838697,42496648,37428687,25805222,22742771,21754058,25707448,194713000,26683000,3729000,1420000,,49183045,58901238,75721008,43419428,110398754,116825965,63683466,146228559,25707448,,,194713000,26683000,3729000,1420000,,14609000,212615681,14609000,,,,,,1980,627.9,31.1,338.7,255.7,495.5,204,820,13.5,195.3,73.4
1981,70,US,5,339375,14298,8209,751,6809,488,354393,15537,369930,,,,,183202,7301,160442,7687,28211,876,3116,191,,,,,1124,46,,,0,0,5451,212,353335,15437,253970,11517,71154,3044,,,150741,9531,11969,430,13597,569,3150,151,5640,168,2935,211,0,0,0,0,8651,523,825,85,3009,78,200517,11747,21933,1053,3150,244,1425,96,4770,517,31181,1680,77169,4725,4100,273,,,0,0,0,0,8941,521,2246,162,2358,149,7061,410,165110,9845,,,,,0,0,,,212264,174955,1981,229465714,16892767,34360571,42203419,38900546,26394405,22579485,21913749,26220666,196634941,27133356,4213992,1483027,,49269574,58912038,76964608,44319388,111502912,117962696,63211690,148208039,26220666,,,196634941,27133356,4213992,1483027,,15560309,213905405,15560309,181974435,26532114,,,,1981,667.4,41.3,343,244,503.5,210.7,841.2,14.4,199.9,78.3
1982,70,US,5,379075,16441,10027,858,6919,486,396021,17785,413806,,,,,206167,8574,180844,8766,36127,1099,3540,218,,,,,1450,54,,,0,0,4438,311,396439,17923,257874,11996,102438,4828,,,166001,11108,13699,479,16309,732,4509,148,2984,143,3176,223,0,0,0,0,8803,545,938,105,894,38,217313,13521,25823,1450,483,52,1018,87,6931,638,38101,2251,81395,5212,5274,377,,,0,0,0,0,9109,518,3000,202,2215,162,3061,278,177196,11240,,,,,0,0,,,230834,188436,1982,231664458,17227895,34102586,41643879,39417346,28030377,22425286,22029823,26787304,198037360,27508316,4581276,1537259,,49333784,58784164,78302445,45244103,112579479,119085017,62812665,149865297,26787304,,,198037360,27508316,4581276,1537259,,16239562,215424896,16239562,182781655,26856062,,,,1982,767.7,39.3,386.6,291.8,544.8,216.3,882.7,15.9,212.6,83.5
1983,70,US,5,401870,17476,9827,979,6138,565,417835,19020,436855,,,,,216522,9380,191020,9196,39744,1344,3833,253,,,,,1503,74,,,0,0,5206,251,418084,19154,244397,11501,133943,6309,,,174887,12521,14001,525,12753,612,8870,368,8026,413,3450,258,0,0,0,0,7942,486,4134,222,573,20,234636,15425,33708,2205,934,73,1266,121,9165,723,50509,3123,91830,6129,4474,392,,,0,0,0,0,8651,515,3240,252,5259,322,1702,367,211611,14245,,,,,0,0,,,250061,225856,1983,233791994,17546968,33921858,41020290,40207832,29267313,22355442,22111766,27360434,199420087,27867416,4908787,1595947,,49536746,58691281,79449355,46114521,113646987,120144916,62566086,151358359,27360434,,,199420087,27867416,4908787,1595947,,16935469,216856525,16935469,183561138,27158852,,,,1983,821.7,32.1,324,282.9,477,213.1,825.5,14.4,199,76.8
1984,70,US,5,424193,19205,9339,985,7676,604,441208,20794,462002,,,,,229323,10105,199692,9981,46125,1781,4189,285,,,,,2061,119,,,0,0,6359,328,441624,20818,253839,12357,141660,6680,441624,20818,167833,12585,15762,662,13602,720,10210,448,10039,564,3456,292,0,0,0,0,7664,555,319,34,1452,63,230337,15923,33892,2241,972,69,1836,182,8660,730,53999,3540,88667,5695,4752,374,,,0,0,0,0,8106,625,3114,268,949,103,1625,322,207598,14170,,,,,0,0,,,246260,221768,1984,235824902,17694998,33788303,40460043,40961840,30502944,22385372,22154045,27877238,200707727,28212477,5249129,1655707,,49718187,58775281,80417379,46913936,114670252,121154531,62482778,152791366,27877238,,,200707727,28212477,5249129,1655707,,17640121,218184781,17640121,184242853,27444460,,,,1984,754.5,36.7,282.4,300.4,488.6,214.4,791.1,12.3,193.9,75.3
1985,70,US,5,459223,21345,10294,966,9842,837,479359,23148,502507,,,,,249418,11429,216344,10793,52460,2212,4480,310,,,,,1800,104,,,0,0,7235,463,479277,23099,278556,13838,148261,7049,479277,23099,184594,13905,15221,594,15146,668,11541,599,14088,837,4280,267,0,0,0,0,7779,526,336,26,836,123,253821,17545,35991,2467,821,68,2346,222,8575,621,61752,4011,87619,6286,5540,512,,,0,0,0,0,8968,610,4137,296,509,33,1636,301,219042,15454,,,,,0,0,,,271366,234496,1985,237923795,17841708,33692422,39991892,41696515,31691031,22459257,22135001,28415906,202031343,28568658,5606129,1717908,,49868586,58819680,81408836,47826630,115729577,122194155,62623913,154216286,28415906,,,202031343,28568658,5606129,1717908,,18367986,219555809,18367986,184945003,27737907,,,,1985,751.7,34.3,282.3,341,405.5,230.6,817.5,14.2,193.6,76
1986,70,US,5,497540,24544,10769,1126,10132,861,518441,26531,544972,,,,,261658,13043,234430,12403,59908,2702,4928,363,,,,,1756,94,,,0,0,15706,752,518478,26655,295438,15924,163132,8029,518478,26655,203142,16240,14681,746,17622,877,13507,765,21591,1395,4043,214,0,0,0,0,8097,601,740,67,518,12,283941,20917,36166,2350,697,51,3291,277,9624,802,70416,4945,99178,6953,9765,847,,,0,0,0,0,8916,614,4540,202,608,61,1134,454,245587,17594,,,,,0,0,,,304858,263181,1986,240132887,17962587,33572752,39556684,42371801,33009010,22658896,21993783,29007328,203429819,28941763,5978210,1783256,,50071307,58847704,82427783,48786047,116865225,123267616,62865654,155758958,29007328,,,203429819,28941763,5978210,1783256,,19154577,220978310,19154577,185677726,28040272,,,,1986,746.8,35.9,281.7,343.2,388.9,249.9,842.5,16.1,215.2,79.3
1987,70,US,5,533990,26822,10761,1323,11210,978,555961,29123,585084,,,,,277229,14377,249730,13228,66781,3029,5106,355,,,,,1909,88,,,0,0,18159,839,552133,28887,289425,15753,195927,10105,552133,28887,223352,18535,16739,786,18884,906,13811,749,29091,1993,4131,217,0,0,0,0,8561,625,610,63,444,265,315623,24139,44676,3236,2339,269,2517,216,10858,1066,82363,6548,108218,8485,14216,1117,,,0,0,0,0,9842,707,3978,270,714,58,1811,74,283001,22097,,,,,0,0,,,339762,305098,1987,242288918,18052290,33807229,38889932,42840709,34226446,23095853,21750615,29625949,204770146,29324578,6343072,1851250,,50301685,59017675,83207732,49761931,117960907,124328116,63056407,157278129,29625949,,,204770146,29324578,6343072,1851250,,19946199,222342719,19946199,186352800,28350939,,,,1987,712.9,36.9,288.4,386.9,341.9,254.5,866.7,14.9,210.5,79.1
1988,70,US,5,573587,30145,9616,1182,11793,1277,594996,32604,627600,,,,,292534,16178,274570,14892,72784,3616,5040,310,,,,,2036,141,,,0,0,20816,1083,594996,32604,320487,18183,201725,10805,594996,32604,240060,21182,20676,1117,22718,1076,15130,903,37061,2673,3927,157,0,0,0,0,9186,748,909,39,1872,308,351539,28203,51613,4155,2771,348,3425,363,11392,1019,88927,6523,118602,9221,16358,1609,,,0,0,0,0,10414,863,4819,266,729,73,1360,401,311942,24880,,,,,0,0,,,379742,336822,1988,244498982,18195465,34255589,38150913,43130183,35180440,23949210,21513632,30123404,206129014,29722999,6723845,1923182,,50583925,59254030,83890480,50770401,119085496,125413340,63247010,158587206,30123404,,,206129014,29722999,6723845,1923182,,20786556,223712426,20786556,187011730,28669163,,,,1988,733.1,29.5,311,472.5,334.8,273.9,925.4,14.9,240.2,90.7
1989,70,US,5,643643,37264,13134,1854,14975,1512,671752,40612,712364,,,,,324124,19426,315683,19269,85798,4585,5598,396,,,,,2316,164,,,0,0,24196,1391,671917,40646,361432,22289,224687,13772,671917,40646,288391,27824,27812,1658,23318,1335,17403,1081,46036,3513,3579,129,0,0,0,0,8925,777,796,56,7580,585,423840,36958,53056,5080,618,96,2937,320,14662,1534,103367,7919,131502,11062,29404,2877,,,0,0,0,0,9683,785,5729,250,927,93,1511,423,354971,30508,,,,,0,0,,,460798,385479,1989,246819230,18508093,34713696,37390779,43236392,36414447,24633174,21240949,30681589,207539903,30143449,7134492,2001351,,50756901,59467754,84700107,51894357,120277490,126541629,63456320,159657205,30681589,,,207539903,30143449,7134492,2001351,,21648268,225170962,21648268,187712384,29005206,,,,1989,703.4,31.4,314.6,551.7,333.2,266.3,940.1,13.7,261.9,91.2
1990,70,US,5,699416,40564,14125,1870,16299,1645,729840,44079,773919,,,,,348404,19426,345940,19269,97927,5138,5847,396,,,,,2645,164,,,0,0,27305,1391,730141,40646,464497,29898,167717,9198,730141,44234,294877,28192,30438,1769,24688,1341,20253,1261,49989,4131,3914,151,0,0,0,0,8801,523,660,37,2721,382,436341,37787,46902,4386,312,73,3094,476,18893,2121,107913,8944,147012,12719,37332,4505,,,0,0,0,0,7989,529,5563,328,1436,206,6677,776,384673,35110,,,,,0,0,,,474128,419783,1990,249622814,18856447,35289633,36921979,43215820,37783237,25206778,21101641,31247279,199827064,29930524,7226986,2015143,9710156,50916548,59788707,85796360,53121199,121713764,127909050,64215494,160886927,31247279,,,209366661,30648345,7549082,2058726,,22572838,226897701,22572838,188725372,29439192,7092269,1793143,,1990,725.4,32.4,293.6,436.5,364.6,286.3,888.5,15.4,266.9,88.6
1991,70,US,5,745810,43802,14936,1943,17164,1906,777908,47651,825559,,,,,363274,22073,371864,23381,106979,5541,6860,547,,,,,3240,183,,,0,0,31312,1399,776550,47583,489128,31824,180443,10218,776550,47583,288408,28829,33852,2147,25550,1757,22744,1436,50142,4472,4026,149,0,0,0,0,9006,580,824,98,5566,460,440118,39928,41918,3743,161,39,8293,1425,18316,1884,116299,9972,153414,14073,35505,4311,,,0,0,0,0,9368,553,5102,281,2015,193,7614,656,399807,37184,,,,,0,0,,,480046,436991,1991,252980941,19208046,36037085,36504705,43224002,39329466,25820152,21045861,31811624,211606011,31290743,7957219,2126968,,51166980,60339238,87225702,54249021,123416235,129564706,65313018,162606993,31811624,,,211606011,31290743,7957219,2126968,,23554990,229425951,23554990,190017764,30057660,7509679,1840848,,1991,700.2,36.9,299.5,399.2,348.3,246.7,890.4,15.2,268.3,91.8
1992,70,US,5,799776,46501,14522,1871,17795,2035,832093,50407,882500,,,,,386103,23162,399775,24931,119225,5793,7160,525,,,,,3793,230,,,0,0,36352,1645,833163,50493,531851,34343,182087,10357,833163,50493,304772,29529,34721,1986,26945,1869,26496,1595,44416,3933,4843,206,0,0,0,0,9312,719,999,55,3111,249,455615,40141,45022,3949,203,40,8008,1203,20787,2309,117176,9660,155241,14854,33342,4362,,,0,0,0,0,9994,712,5854,347,968,235,10349,402,408959,38146,,,,,0,0,,,495756,447105,1992,256514224,19528041,36676867,36434242,42996970,39976334,27547718,20998058,32355994,213945622,31979982,8386444,2202176,,51447656,60928804,88704251,55433513,125247146,131267078,66509177,164462097,32355994,,,213945622,31979982,8386444,2202176,,24619345,231894879,24619345,191335711,30719969,7947196,1892003,,1992,633.3,35.5,293.6,415.7,324.5,211.2,836.6,13.4,274.1,93.3
1993,70,US,5,878037,54037,14569,2134,18438,2086,911044,58257,969301,,,,,406632,25148,429278,27292,131978,6721,7726,574,,,,,5114,294,,,0,0,43135,1753,891885,55061,565030,37386,194877,10954,891885,55061,310565,31157,32062,2294,28621,2062,28807,1851,47638,4377,5084,271,0,0,0,0,11892,980,606,47,9503,745,474778,43784,56575,5463,538,111,6043,906,20587,2522,124448,10331,150987,14207,28851,3840,,,0,0,0,0,13119,916,5388,301,991,115,7023,544,417058,39350,,,,,0,0,,,518562,456408,1993,259918588,19729275,37367359,36463777,42652396,40911550,28863949,21028471,32901811,216187073,32634735,8814728,2282052,,51777957,61484354,90218014,56438263,126970600,132947988,67594938,166375881,32901811,,,216187073,32634735,8814728,2282052,,25776661,234141927,25776661,192470910,31344132,8382347,1944538,,1993,586.6,38.6,279.7,433.3,279.5,199.5,805.8,10.8,275.4,100.9
1994,70,US,5,956566,60125,13765,2067,19975,2204,990306,64396,1054702,,,,,436453,27714,471583,30089,149552,7356,8515,768,,,,,5705,300,,,0,0,68178,5469,990434,64340,652501,43230,188381,13754,990434,64340,313850,31185,36998,2551,31878,2258,29053,2048,60845,5343,4241,270,0,0,0,0,12320,1026,571,204,6208,585,495964,45470,61637,6150,550,94,4013,392,19199,2388,138985,12165,135672,13332,28106,3173,,,0,0,0,0,13233,1074,4577,281,735,66,7541,568,417136,39806,,,,,0,0,,,541434,456942,1994,263125821,19776862,38025965,36531873,42329554,41818866,30152761,21159137,33330803,218304774,33258981,9200988,2361078,,52036206,61970726,91749057,57369832,128597479,134528342,68640935,168320633,33330803,,,218304774,33258981,9200988,2361078,,26945933,236179888,26945933,193468650,31940211,8776213,1994814,,1994,526.2,48.8,283.6,513.6,271,205.9,810.1,9.6,282.1,98.6
1995,70,US,5,1021059,63963,14590,2081,21757,2424,1057406,68468,1125874,,,,,425796,29225,510760,33245,166221,8073,9302,874,,,,,6143,340,,,0,0,105809,4793,1057810,68477,754699,51715,136890,8689,1057810,68477,326403,35061,31635,2365,34361,2686,30538,2192,68740,6124,2581,122,0,0,0,0,9685,1031,681,58,7700,769,512316,50408,75821,7924,395,48,3476,417,23527,3065,163451,15497,134199,15125,17600,2019,,,0,0,0,0,9925,949,3105,225,618,60,10339,715,445652,46206,,,,,0,0,,,562724,491858,1995,266278393,19626505,38645220,36674212,42052123,42710768,31480239,21320022,33769304,220384783,33847306,9604552,2441752,,52278383,62473250,93249180,58277580,130215371,136063022,69473139,170364628,33769304,,,220384783,33847306,9604552,2441752,,28157801,238120592,28157801,194388780,32500056,9187551,2044205,,1995,539.3,56.3,281.1,554.3,265.9,223.4,799.4,9.7,286,91.6
1996,70,US,5,1068123,69599,17300,2750,21686,2462,1107109,74810,1181919,,,,,446136,32172,530140,35409,177520,9241,10434,959,,,,,7154,428,,,0,0,110703,5563,1105945,74579,784837,55784,121215,8451,1084950,73524,317989,35904,24180,1803,35087,2843,29979,2403,72112,6904,3168,159,0,0,0,0,8762,1046,567,60,10979,2053,502823,53169,88300,9115,561,67,4801,591,25400,3388,162697,15909,129769,13912,16916,1817,,,0,0,0,0,8520,917,2578,205,663,76,13200,1566,456599,47690,,,,,0,0,,,555992,504289,1996,269394284,19408272,39295639,36796805,41809305,43551263,32799965,21589986,34143049,222420050,34415478,10023883,2534873,,52513334,62944737,94717153,59219060,131807484,137586800,70233512,172662963,34143049,,,222420050,34415478,10023883,2534873,,29463458,239930826,29463458,195173744,33042160,9614039,2100883,,1996,544.7,68.7,312.8,559.1,266.8,251.5,759.3,10.3,258.7,80.3
1997,70,US,5,1120544,73790,18398,2882,22526,2519,1161468,79191,1240659,,,,,470946,34567,553370,37084,188827,9846,11367,1006,5975,309,1889,232,,,,,0,0,118219,5998,1161766,79196,825211,59360,147728,9990,1161766,79196,327933,37152,24534,1885,34851,2830,30614,2564,84370,8117,2840,247,0,0,0,0,7883,926,788,137,14311,2195,528124,56053,94925,9436,303,40,4578,614,27219,3810,177128,18151,125493,14051,18318,1906,,,0,0,0,0,7361,749,3093,213,657,95,14987,2611,477042,51806,,,,,0,0,,,584177,528848,1997,272646925,19232671,39854729,37307767,41344963,44228415,34177508,22099311,34401561,224553464,35007679,10459307,2626475,,52745365,63344954,96245085,60311521,133473526,139173399,70920737,175173297,34401561,,,224553464,35007679,10459307,2626475,,30895896,241751029,30895896,195934009,33607186,10056689,2153145,,1997,541.8,67,297.5,580.8,269.5,233.4,739.3,10.6,251.5,80.3
1998,70,US,5,1177243,79231,21700,3186,23330,2464,1222273,84881,1307154,,,,,495593,37645,577289,38817,198154,10183,12241,1155,6325,370,2104,205,,,,,0,0,121417,5935,1214969,84127,859082,63016,136301,9788,1214969,84127,341573,40073,23999,2275,35073,3093,32536,2916,98845,11045,4106,435,0,0,0,0,6345,830,752,93,10012,1225,553241,61985,108450,12409,333,71,4254,569,32050,5114,191277,19858,122372,14094,19100,2185,,,0,0,0,0,5835,695,4431,425,702,95,11992,1691,503675,57345,,,,,0,0,,,615226,561020,1998,275854104,19144923,40335509,38006835,40756512,44748354,35231857,23010955,34619159,226648119,35594140,10885809,2726036,,53022824,63715930,97722335,61393015,135129904,140724200,71431406,177751976,34619159,,,226648119,35594140,10885809,2726036,,32382865,243471239,32382865,196603242,34168672,10489983,2209342,,1998,508.5,68.1,252.3,565.2,257.5,228.5,654.6,11,233.8,69.1
