Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Population (People),227224719,229465714,231664458,233791994,235824902,237923795,240132887,242288918,244498982,246819230,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331449281
        Under 5 years of age (People),16451188,16892767,17227895,17546968,17694998,17841708,17962587,18052290,18195465,18508093,18856447,19208046,19528041,19729275,19776862,19626505,19408272,19232671,19144923,19135544,19178293,19298217,19429192,19592446,19785885,19917400,19938883,20125962,20271127,20244518,20188815,20123103,19976065,19849215,19872349,19918078,19921759,19890972,19762962,19576683,
        5 to 14 years (People),34838697,34360571,34102586,33921858,33788303,33692422,33572752,33807229,34255589,34713696,35289633,36037085,36676867,37367359,38025965,38645220,39295639,39854729,40335509,40819824,41101548,41152040,41133838,41036204,40865917,40601646,40577826,40555653,40636257,40843063,41011834,41045296,41136885,41218213,41180681,41081146,41055553,41077140,41056914,40994163,
        15 to 24 years (People),42496648,42203419,41643879,41020290,40460043,39991892,39556684,38889932,38150913,37390779,36921979,36504705,36434242,36463777,36531873,36674212,36796805,37307767,38006835,38676031,39411622,40213570,40854135,41388854,41948112,42446169,42843844,43145815,43391492,43576932,43682397,43817679,43955174,43989690,43926765,43749670,43473877,43136918,42872747,42687510,
        25 to 34 years (People),37428687,38900546,39417346,40207832,40961840,41696515,42371801,42840709,43130183,43236392,43215820,43224002,42996970,42652396,42329554,42052123,41809305,41344963,40756512,40178406,39804497,39471522,39349646,39243795,39266556,39258647,39395179,39713463,40207473,40723342,41210814,41794054,42290999,42834450,43448454,44038198,44732005,45263412,45610110,45940321,
        35 to 44 years (People),25805222,26394405,28030377,29267313,30502944,31691031,33009010,34226446,35180440,36414447,37783237,39329466,39976334,40911550,41818866,42710768,43551263,44228415,44748354,45076677,45168843,45051752,44640649,44154206,43800275,43505538,43243801,42796230,42192486,41487811,40980472,40633299,40510928,40444961,40401376,40437602,40459218,40756584,41213474,41659144,
        45 to 54 years (People),22742771,22579485,22425286,22355442,22385372,22459257,22658896,23095853,23949210,24633174,25206778,25820152,27547718,28863949,30152761,31480239,32799965,34177508,35231857,36577819,37998974,39386268,39992194,40819954,41629930,42495904,43286159,43939939,44460447,44867088,44986392,44725716,44256152,43749928,43330932,43015531,42707029,42232340,41577706,40874902,
        55 to 64 years (People),21754058,21913749,22029823,22111766,22154045,22135001,21993783,21750615,21513632,21240949,21101641,21045861,20998058,21028471,21159137,21320022,21589986,22099311,23010955,23778026,24429066,25105295,26703332,28008945,29305304,30641497,31930113,33128434,34157063,35405600,36782718,38067712,38574424,39277803,39983435,40744168,41389799,41874769,42224249,42448537,
        65+ years (People),25707448,26220666,26787304,27360434,27877238,28415906,29007328,29625949,30123404,30681589,31247279,31811624,32355994,32901811,33330803,33769304,34143049,34401561,34619159,34797841,35069568,35290291,35522207,35863529,36203319,36649798,37164107,37825711,38777621,39623175,40478224,41350015,43130363,44629455,46157016,47650770,49202071,50753404,52369339,54058263,
        White (People),194713000,196634941,198037360,199420087,200707727,202031343,203429819,204770146,206129014,207539903,199827064,211606011,213945622,216187073,218304774,220384783,222420050,224553464,226648119,228687790,211460626,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,242235328,243292145,244354778,245308889,246350641,247382690,248413058,249270773,249961025,250522190,
        Black or African American (People),26683000,27133356,27508316,27867416,28212477,28568658,28941763,29324578,29722999,30143449,29930524,31290743,31979982,32634735,33258981,33847306,34415478,35007679,35594140,36173121,34658190,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40355385,40783547,41225339,41651863,42090120,42532491,42970183,43374142,43732024,44075086,
        Asian (People),3729000,4213992,4581276,4908787,5249129,5606129,5978210,6343072,6723845,7134492,7226986,7957219,8386444,8814728,9200988,9604552,10023883,10459307,10885809,11346496,10641833,11669880,12156530,12625915,13090057,13576467,14066685,14547694,15030973,15491716,15261408,15721072,16195092,16679752,17203569,17752744,18279949,18764237,19134105,19504862,
        American Indian and Alaska Native (People),1420000,1483027,1537259,1595947,1655707,1717908,1783256,1851250,1923182,2001351,2015143,2126968,2202176,2282052,2361078,2441752,2534873,2626475,2726036,2832761,2475956,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3752274,3801451,3853222,3902766,3953354,4004358,4054740,4101605,4145811,4188092,
        Two or more races (People),,,,,,,,,,,9710156,,,,,,,,,,22185301,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,7039225,7266443,7495899,7728870,7968051,8212721,8457567,8694466,8920749,9142356,
        Northeast (People),49183045,49269574,49333784,49536746,49718187,49868586,50071307,50301685,50583925,50756901,50916548,51166980,51447656,51777957,52036206,52278383,52513334,52745365,53022824,53343775,53666295,53915522,54143915,54334453,54423533,54451230,54522659,54653362,54875926,55133101,55380764,55608318,55782661,55912775,56021339,56052790,56063777,56083383,56084543,56002934,55849869
        Midwest (People),58901238,58912038,58784164,58691281,58775281,58819680,58847704,59017675,59254030,59467754,59788707,60339238,60928804,61484354,61970726,62473250,62944737,63344954,63715930,64100061,64491431,64776531,65018293,65276954,65532305,65751872,66028555,66293689,66523935,66748437,66975328,67164092,67348275,67576524,67765576,67885682,68018175,68160342,68263019,68340091,68316744
        South (People),75721008,76964608,78302445,79449355,80417379,81408836,82427783,83207732,83890480,84700107,85796360,87225702,88704251,90218014,91749057,93249180,94717153,96245085,97722335,99164460,100565549,101849575,103150787,104380188,105883977,107479771,109076933,110688742,112184930,113548615,114869421,116019483,117264196,118397213,119666248,121049223,122419547,123611036,124649156,125686544,126662754
        West (People),43419428,44319388,45244103,46114521,46913936,47826630,48786047,49761931,50770401,51894357,53121199,54249021,55433513,56438263,57369832,58277580,59219060,60311521,61393015,62431872,63439136,64427327,65312198,66116338,66965483,67833726,68751765,69595414,70509175,71341376,72101630,72791588,73482530,74173435,74933166,75751299,76570256,77267367,77841481,78300384,78654756
        Male (People),110398754,111502912,112579479,113646987,114670252,115729577,116865225,117960907,119085496,120277490,121713764,123416235,125247146,126970600,128597479,130215371,131807484,133473526,135129904,136802873,138443407,139891492,141230559,142428897,143828012,145197078,146647265,148064854,149489951,150807454,152074758,153200058,154374397,155481926,156654424,157856394,159021785,160045920,160885734,161657324,
        Female (People),116825965,117962696,119085017,120144916,121154531,122194155,123267616,124328116,125413340,126541629,127909050,129564706,131267078,132947988,134528342,136063022,137586800,139173399,140724200,142237295,143719004,145077463,146394634,147679036,148977286,150319521,151732647,153166353,154604015,155964075,157246908,158356816,159456593,160511789,161646584,162778769,163919526,164939619,165801767,166582199,
        Children (under 18) (People),63683466,63211690,62812665,62566086,62482778,62623913,62865654,63056407,63247010,63456320,64215494,65313018,66509177,67594938,68640935,69473139,70233512,70920737,71431406,71946049,72376189,72671175,72936457,73100758,73297735,73523669,73757714,74019405,74104602,74134167,74120666,73907524,73696664,73568702,73563723,73618051,73649413,73585346,73319145,73039150,
        Working-age (16-64) (People),146228559,148208039,149865297,151358359,152791366,154216286,155758958,157278129,158587206,159657205,160886927,162606993,164462097,166375881,168320633,170364628,172662963,175173297,177751976,180347807,182825698,185144529,187442080,189443100,191685314,193890786,196292581,198359386,200089979,201800866,203411942,204880180,205444520,206149020,206928134,207737412,208562839,209153354,209360575,209434955,
        Elderly (65+) (People),25707448,26220666,26787304,27360434,27877238,28415906,29007328,29625949,30123404,30681589,31247279,31811624,32355994,32901811,33330803,33769304,34143049,34401561,34619159,34797841,35069568,35290291,35522207,35863529,36203319,36649798,37164107,37825711,38777621,39623175,40478224,41350015,43130363,44629455,46157016,47650770,49202071,50753404,52369339,54058263,
        Working-age (18-64) (People),,,,,,,,,,,,,,,,,,,,,174716654,177007489,179166529,181143646,183304244,185343132,187458091,189386091,191211743,193014187,194722776,196299335,197003963,197795558,198580269,199366342,200089827,200646789,200999017,201142110,
        Children (15 and under) (People),,,,,,,,,,,,,,,,,,,,,64344519,64534135,64660906,64801304,64916665,64976015,64923224,65046110,65226366,65347488,65431500,65326679,65256107,65215240,65215858,65246981,65176401,65078781,64957587,64746305,
        White (People),194713000,196634941,198037360,199420087,200707727,202031343,203429819,204770146,206129014,207539903,209366661,211606011,213945622,216187073,218304774,220384783,222420050,224553464,226648119,228687790,228530479,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,242235328,243292145,244354778,245308889,246350641,247382690,248413058,249270773,249961025,250522190,
        Black or African American (People),26683000,27133356,27508316,27867416,28212477,28568658,28941763,29324578,29722999,30143449,30648345,31290743,31979982,32634735,33258981,33847306,34415478,35007679,35594140,36173121,35814706,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40355385,40783547,41225339,41651863,42090120,42532491,42970183,43374142,43732024,44075086,
        Asian (People),3729000,4213992,4581276,4908787,5249129,5606129,5978210,6343072,6723845,7134492,7549082,7957219,8386444,8814728,9200988,9604552,10023883,10459307,10885809,11346496,11173178,11669880,12156530,12625915,13090057,13576467,14066685,14547694,15030973,15491716,15261408,15721072,16195092,16679752,17203569,17752744,18279949,18764237,19134105,19504862,
        American Indian and Alaska Native (People),1420000,1483027,1537259,1595947,1655707,1717908,1783256,1851250,1923182,2001351,2058726,2126968,2202176,2282052,2361078,2441752,2534873,2626475,2726036,2832761,2684491,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3752274,3801451,3853222,3902766,3953354,4004358,4054740,4101605,4145811,4188092,
        Other / Mixed race (People),,,,,,,,,,,,,,,,,,,,,3959557,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,7039225,7266443,7495899,7728870,7968051,8212721,8457567,8694466,8920749,9142356,
        Hispanic (People),14609000,15560309,16239562,16935469,17640121,18367986,19154577,19946199,20786556,21648268,22572838,23554990,24619345,25776661,26945933,28157801,29463458,30895896,32382865,33937795,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50742885,51857244,52926701,53990334,55088193,56254742,57450887,58573530,59639869,60572237,
        Not Hispanic (People),212615681,213905405,215424896,216856525,218184781,219555809,220978310,222342719,223712426,225170962,226897701,229425951,231894879,234141927,236179888,238120592,239930826,241751029,243471239,245102373,246503959,247824859,249007573,250058504,251303923,252492985,253773607,255034354,256300181,257444040,258578781,259699630,260904289,262003381,263212815,264380421,265490424,266412009,267047632,267667286,
        Hispanic (People),14609000,15560309,16239562,16935469,17640121,18367986,19154577,19946199,20786556,21648268,22572838,23554990,24619345,25776661,26945933,28157801,29463458,30895896,32382865,33937795,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50742885,51857244,52926701,53990334,55088193,56254742,57450887,58573530,59639869,60572237,
"        White, Not-Hispanic (People)",,181974435,182781655,183561138,184242853,184945003,185677726,186352800,187011730,187712384,188725372,190017764,191335711,192470910,193468650,194388780,195173744,195934009,196603242,197154118,195701752,195974813,196140540,196232760,196461761,196620983,196832697,197011394,197183535,197274549,197388592,197486399,197639572,197690405,197799592,197837000,197845666,197748159,197535202,197309822,
"        Black, Not-Hispanic (People)",,26532114,26856062,27158852,27444460,27737907,28040272,28350939,28669163,29005206,29439192,30057660,30719969,31344132,31940211,32500056,33042160,33607186,34168672,34722236,34405800,34780280,35130061,35438251,35797599,36147348,36520961,36905758,37290709,37656592,38013471,38379378,38756150,39117317,39488757,39862578,40231299,40568433,40860704,41147488,
"        Asian, Not-Hispanic (People)",,,,,,,,,,,7092269,7509679,7947196,8382347,8776213,9187551,9614039,10056689,10489983,10957343,10838983,11309135,11768587,12209073,12641171,13092024,13545366,13987653,14430437,14849062,14760994,15210462,15673926,16147839,16660735,17198200,17713306,18186249,18545428,18905879,
"        American Indian and Alaska Native, Not-Hispanic (People)",,,,,,,,,,,1793143,1840848,1892003,1944538,1994814,2044205,2100883,2153145,2209342,2268676,2101969,2119929,2136918,2152127,2169359,2186123,2203091,2220301,2237304,2252408,2268775,2289536,2311213,2331890,2352171,2370871,2388699,2405169,2420241,2434908,
"        Other / Mixed race, Not Hispanic (People)",,,,,,,,,,,,,,,,,,,,,3452022,3640702,3831467,4026293,4234033,4446507,4671492,4909248,5158196,5411429,5647090,5823185,6001907,6183030,6368514,6557720,6745777,6927623,7099894,7273281,
